% f evaluations | g evaluations | best noise-free fitness - Fopt (1.321800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.312532469e+02 +2.634332469e+02 +2.634332469e+02 -1.3603e+00 +7.6003e-02 -1.0760e+00 -1.1465e+00 +1.0439e+00
4 0 +1.280388618e+02 +2.602188618e+02 +2.602188618e+02 -4.4199e-01 +3.0357e+00 +1.7332e+00 +5.3189e-01 +1.0995e+00
15 0 +1.222060433e+02 +2.543860433e+02 +2.543860433e+02 -1.9381e+00 +8.3217e-02 +2.2106e+00 -1.0513e+00 +9.5075e-01
22 0 +9.098427319e+01 +2.231642732e+02 +2.231642732e+02 +4.0615e-01 +9.1258e-01 +9.0066e-01 -8.3740e-01 +2.2273e+00
31 0 +5.265318630e+01 +1.848331863e+02 +1.848331863e+02 -1.9426e-01 +1.6171e+00 +1.0457e+00 -2.4351e+00 +1.7844e+00
32 0 +4.745239742e+01 +1.796323974e+02 +1.796323974e+02 +1.0760e+00 -6.8218e-01 +2.4090e+00 -1.4862e+00 +2.1639e+00
123 0 +2.745573411e+01 +1.596357341e+02 +1.596357341e+02 +2.8210e+00 +1.7814e-01 +2.3242e+00 -1.4700e+00 +2.4389e+00
187 0 +1.510410366e+01 +1.472841037e+02 +1.472841037e+02 +2.8078e+00 +6.8278e-01 +3.0198e+00 -1.5845e+00 +2.5274e+00
718 0 +1.404216129e+01 +1.462221613e+02 +1.462221613e+02 +1.8935e+00 +6.6401e-01 +2.3759e+00 -1.9575e+00 +1.8177e+00
1000 0 +1.293652459e+01 +1.451165246e+02 +1.451165246e+02 +1.8067e+00 +6.7699e-01 +2.3790e+00 -1.9651e+00 +1.8057e+00
