% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.715000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.425656822e+03 +4.378506822e+03 +4.378506822e+03 +7.7949e-01 -4.0002e+00
2 0 +3.139623689e+03 +3.092473689e+03 +3.092473689e+03 +9.8674e-01 -2.0326e+00
3 0 +7.443389287e+02 +6.971889287e+02 +6.971889287e+02 +6.6682e-01 -5.3774e-01
4 0 +5.225109061e+01 +5.101090612e+00 +5.101090612e+00 +3.5946e-01 +3.3574e-01
15 0 +4.799055799e+00 -4.235094420e+01 -4.235094420e+01 +7.3657e-01 +2.6635e+00
33 0 +1.177364319e+00 -4.597263568e+01 -4.597263568e+01 +3.2288e-01 +1.0196e+00
45 0 +2.902883808e-01 -4.685971162e+01 -4.685971162e+01 +1.4192e-01 +3.4143e-01
69 0 +2.070646044e-01 -4.694293540e+01 -4.694293540e+01 +1.2199e-01 +3.1373e-01
92 0 +1.910432252e-01 -4.695895677e+01 -4.695895677e+01 +8.9851e-02 +2.2862e-01
99 0 +1.706897107e-01 -4.697931029e+01 -4.697931029e+01 +8.2485e-02 +1.9510e-01
104 0 +1.444780297e-01 -4.700552197e+01 -4.700552197e+01 +3.5403e-02 +5.4708e-02
127 0 +1.387296103e-01 -4.701127039e+01 -4.701127039e+01 +1.8173e-02 +5.1154e-03
145 0 +9.821522646e-02 -4.705178477e+01 -4.705178477e+01 -7.7118e-02 -2.4821e-01
147 0 +7.171421212e-02 -4.707828579e+01 -4.707828579e+01 -7.2853e-02 -2.2634e-01
160 0 +3.799698007e-02 -4.711200302e+01 -4.711200302e+01 -1.5987e-01 -4.2098e-01
172 0 +2.621833381e-02 -4.712378167e+01 -4.712378167e+01 -1.7265e-01 -4.5658e-01
177 0 +2.499503733e-02 -4.712500496e+01 -4.712500496e+01 -1.7650e-01 -4.7258e-01
182 0 +1.910507114e-02 -4.713089493e+01 -4.713089493e+01 -2.4529e-01 -6.1222e-01
186 0 +1.737290510e-02 -4.713262709e+01 -4.713262709e+01 -2.0502e-01 -5.3008e-01
187 0 +1.091567596e-02 -4.713908432e+01 -4.713908432e+01 -2.6859e-01 -6.8154e-01
190 0 +8.520220162e-03 -4.714147978e+01 -4.714147978e+01 -3.1503e-01 -7.6052e-01
200 0 +8.520220162e-03 -4.714147978e+01 -4.714147978e+01 -3.1503e-01 -7.6052e-01
