% f evaluations | g evaluations | best noise-free fitness - Fopt (7.948000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.006333570e+00 +8.048633357e+01 +8.048633357e+01 -7.4742e-01 -1.2335e+00
7 0 +6.962576110e-01 +8.017625761e+01 +8.017625761e+01 +1.1892e-01 -3.3319e-01
8 0 +4.274567880e-01 +7.990745679e+01 +7.990745679e+01 +4.5873e-02 -5.3661e-01
31 0 +2.186586646e-01 +7.969865866e+01 +7.969865866e+01 -1.7084e-01 -9.5885e-01
37 0 +8.061815456e-02 +7.956061815e+01 +7.956061815e+01 +7.5233e-02 -9.3524e-01
46 0 +2.954582956e-02 +7.950954583e+01 +7.950954583e+01 +4.1940e-01 -1.1145e+00
51 0 +1.837689323e-02 +7.949837689e+01 +7.949837689e+01 +2.2895e-01 -1.0234e+00
52 0 +1.615059116e-03 +7.948161506e+01 +7.948161506e+01 +2.1518e-01 -1.1427e+00
85 0 +1.189827202e-03 +7.948118983e+01 +7.948118983e+01 +2.4354e-01 -1.1236e+00
93 0 +1.029060427e-03 +7.948102906e+01 +7.948102906e+01 +2.7217e-01 -1.1312e+00
109 0 +3.630075534e-04 +7.948036301e+01 +7.948036301e+01 +2.4286e-01 -1.1405e+00
116 0 +3.210121880e-04 +7.948032101e+01 +7.948032101e+01 +2.5325e-01 -1.1747e+00
121 0 +1.531488531e-04 +7.948015315e+01 +7.948015315e+01 +2.6288e-01 -1.1640e+00
132 0 +2.784821982e-05 +7.948002785e+01 +7.948002785e+01 +2.4855e-01 -1.1599e+00
142 0 +9.317078096e-06 +7.948000932e+01 +7.948000932e+01 +2.5118e-01 -1.1542e+00
151 0 +6.624040040e-06 +7.948000662e+01 +7.948000662e+01 +2.5185e-01 -1.1544e+00
161 0 +4.112447371e-06 +7.948000411e+01 +7.948000411e+01 +2.5077e-01 -1.1567e+00
166 0 +3.625827802e-06 +7.948000363e+01 +7.948000363e+01 +2.5468e-01 -1.1565e+00
174 0 +1.096500483e-06 +7.948000110e+01 +7.948000110e+01 +2.5202e-01 -1.1561e+00
177 0 +2.524454743e-07 +7.948000025e+01 +7.948000025e+01 +2.5230e-01 -1.1569e+00
183 0 +1.019615894e-07 +7.948000010e+01 +7.948000010e+01 +2.5249e-01 -1.1569e+00
200 0 +1.019615894e-07 +7.948000010e+01 +7.948000010e+01 +2.5249e-01 -1.1569e+00
