% f evaluations | g evaluations | best noise-free fitness - Fopt (7.948000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.876913050e+00 +8.435691305e+01 +8.435691305e+01 -1.9503e+00 -1.3086e+00
5 0 +4.211642678e+00 +8.369164268e+01 +8.369164268e+01 -4.5756e-01 +7.6857e-01
10 0 +4.235766952e-01 +7.990357670e+01 +7.990357670e+01 -3.6821e-01 -1.3515e+00
13 0 +6.577452838e-02 +7.954577453e+01 +7.954577453e+01 +1.8718e-02 -1.0520e+00
28 0 +3.987027388e-03 +7.948398703e+01 +7.948398703e+01 +2.3063e-01 -1.2159e+00
86 0 +2.520408283e-04 +7.948025204e+01 +7.948025204e+01 +2.6783e-01 -1.1517e+00
110 0 +1.220542345e-05 +7.948001221e+01 +7.948001221e+01 +2.5625e-01 -1.1574e+00
169 0 +1.001806226e-06 +7.948000100e+01 +7.948000100e+01 +2.5345e-01 -1.1560e+00
173 0 +1.633675595e-08 +7.948000002e+01 +7.948000002e+01 +2.5278e-01 -1.1569e+00
240 0 +7.048015505e-10 +7.948000000e+01 +7.948000000e+01 +2.5279e-01 -1.1568e+00
351 0 +4.405364962e-13 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00
402 0 +0.000000000e+00 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00
444 0 +0.000000000e+00 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00
