% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.981244795e+02 +1.298124479e+03 +1.298124479e+03
18 0 +1.962771944e+02 +1.196277194e+03 +1.196277194e+03
29 0 +1.638737964e+02 +1.163873796e+03 +1.163873796e+03
40 0 +1.515379359e+02 +1.151537936e+03 +1.151537936e+03
100 0 +1.133051797e+02 +1.113305180e+03 +1.113305180e+03
126 0 +8.436816190e+01 +1.084368162e+03 +1.084368162e+03
222 0 +7.523940156e+01 +1.075239402e+03 +1.075239402e+03
291 0 +6.324579636e+01 +1.063245796e+03 +1.063245796e+03
443 0 +6.004309050e+01 +1.060043090e+03 +1.060043090e+03
464 0 +5.170286262e+01 +1.051702863e+03 +1.051702863e+03
692 0 +3.477000223e+01 +1.034770002e+03 +1.034770002e+03
1000 0 +3.477000223e+01 +1.034770002e+03 +1.034770002e+03
