% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.209000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.265010469e+07 +2.265001260e+07 +2.265001260e+07
6 0 +1.957701787e+07 +1.957692578e+07 +1.957692578e+07
11 0 +1.824482686e+07 +1.824473477e+07 +1.824473477e+07
28 0 +1.114475835e+07 +1.114466626e+07 +1.114466626e+07
31 0 +9.449859843e+06 +9.449767753e+06 +9.449767753e+06
45 0 +8.889714845e+06 +8.889622755e+06 +8.889622755e+06
48 0 +5.510399422e+06 +5.510307332e+06 +5.510307332e+06
65 0 +5.310883468e+06 +5.310791378e+06 +5.310791378e+06
87 0 +4.362928503e+06 +4.362836413e+06 +4.362836413e+06
162 0 +2.537479429e+06 +2.537387339e+06 +2.537387339e+06
200 0 +2.537479429e+06 +2.537387339e+06 +2.537387339e+06
