% f evaluations | g evaluations | best noise-free fitness - Fopt (9.319900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.704349163e+03 +2.636339163e+03 +2.636339163e+03
2 0 +1.485674762e+03 +2.417664762e+03 +2.417664762e+03
9 0 +9.919586673e+02 +1.923948667e+03 +1.923948667e+03
23 0 +8.709755458e+02 +1.802965546e+03 +1.802965546e+03
55 0 +6.721120624e+02 +1.604102062e+03 +1.604102062e+03
84 0 +6.117777678e+02 +1.543767768e+03 +1.543767768e+03
95 0 +5.330434972e+02 +1.465033497e+03 +1.465033497e+03
102 0 +4.301508173e+02 +1.362140817e+03 +1.362140817e+03
106 0 +3.705758957e+02 +1.302565896e+03 +1.302565896e+03
125 0 +3.302758512e+02 +1.262265851e+03 +1.262265851e+03
132 0 +2.992031116e+02 +1.231193112e+03 +1.231193112e+03
171 0 +2.513795273e+02 +1.183369527e+03 +1.183369527e+03
183 0 +2.158822729e+02 +1.147872273e+03 +1.147872273e+03
200 0 +2.158822729e+02 +1.147872273e+03 +1.147872273e+03
