% f evaluations | g evaluations | best noise-free fitness - Fopt (3.718000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.889869656e+01 +9.607869656e+01 +9.607869656e+01 +8.2360e-01 +2.1110e+00 +1.0528e+00 -2.1404e+00 -1.9606e+00
14 0 +2.621027626e+01 +6.339027626e+01 +6.339027626e+01 -1.5194e+00 +7.9754e-01 +8.8918e-01 -1.3890e-01 -2.8406e+00
18 0 +1.641493523e+01 +5.359493523e+01 +5.359493523e+01 -1.3698e+00 -1.3919e-01 +4.8232e+00 +1.3447e+00 -1.6711e+00
41 0 +1.382830420e+01 +5.100830420e+01 +5.100830420e+01 -3.2545e+00 +3.7840e+00 +4.9819e+00 +9.5766e-01 -4.9799e+00
49 0 +7.586804357e+00 +4.476680436e+01 +4.476680436e+01 -1.9587e+00 +7.2276e-01 +3.8356e+00 +1.5850e+00 -2.7792e+00
105 0 +5.590680925e+00 +4.277068092e+01 +4.277068092e+01 -3.8625e+00 +2.5096e+00 +2.4713e+00 +1.7559e+00 -3.6728e+00
163 0 +3.330746244e+00 +4.051074624e+01 +4.051074624e+01 -3.7799e+00 +2.3652e+00 +2.1239e+00 +1.1754e+00 -3.5262e+00
172 0 +2.464631654e+00 +3.964463165e+01 +3.964463165e+01 -3.2574e+00 +1.5573e+00 +2.8243e+00 +1.1896e+00 -3.0836e+00
189 0 +1.378766444e+00 +3.855876644e+01 +3.855876644e+01 -3.5854e+00 +2.2994e+00 +2.7891e+00 +1.4575e+00 -3.5428e+00
245 0 +1.050817330e+00 +3.823081733e+01 +3.823081733e+01 -3.9933e+00 +2.2614e+00 +1.8807e+00 +1.6495e+00 -3.5540e+00
273 0 +8.394510271e-01 +3.801945103e+01 +3.801945103e+01 -3.7267e+00 +1.9830e+00 +2.3038e+00 +1.4997e+00 -3.4977e+00
304 0 +6.466189763e-01 +3.782661898e+01 +3.782661898e+01 -3.6520e+00 +2.0953e+00 +2.4414e+00 +1.4954e+00 -3.3689e+00
328 0 +4.953259081e-01 +3.767532591e+01 +3.767532591e+01 -3.6595e+00 +2.0406e+00 +2.4309e+00 +1.4875e+00 -3.3877e+00
348 0 +4.150677555e-01 +3.759506776e+01 +3.759506776e+01 -3.6428e+00 +2.0614e+00 +2.4315e+00 +1.5010e+00 -3.4139e+00
405 0 +3.535951543e-01 +3.753359515e+01 +3.753359515e+01 -3.6248e+00 +1.9917e+00 +2.4301e+00 +1.4899e+00 -3.3766e+00
456 0 +2.999914066e-01 +3.747999141e+01 +3.747999141e+01 -3.6013e+00 +2.0273e+00 +2.4692e+00 +1.4793e+00 -3.3980e+00
473 0 +2.332066848e-01 +3.741320668e+01 +3.741320668e+01 -3.6356e+00 +2.0274e+00 +2.4108e+00 +1.4822e+00 -3.3949e+00
482 0 +1.865703406e-01 +3.736657034e+01 +3.736657034e+01 -3.6122e+00 +2.0260e+00 +2.4522e+00 +1.4723e+00 -3.3927e+00
484 0 +1.571703238e-01 +3.733717032e+01 +3.733717032e+01 -3.6293e+00 +2.0182e+00 +2.4111e+00 +1.4873e+00 -3.3994e+00
537 0 +1.061314974e-01 +3.728613150e+01 +3.728613150e+01 -3.6208e+00 +2.0153e+00 +2.4298e+00 +1.4771e+00 -3.3854e+00
553 0 +9.905708017e-02 +3.727905708e+01 +3.727905708e+01 -3.6072e+00 +2.0028e+00 +2.4408e+00 +1.4776e+00 -3.3848e+00
567 0 +5.961117117e-02 +3.723961117e+01 +3.723961117e+01 -3.6145e+00 +2.0136e+00 +2.4385e+00 +1.4771e+00 -3.3875e+00
735 0 +4.937320743e-02 +3.722937321e+01 +3.722937321e+01 -3.6191e+00 +2.0174e+00 +2.4352e+00 +1.4778e+00 -3.3895e+00
816 0 +4.342063877e-02 +3.722342064e+01 +3.722342064e+01 -3.6185e+00 +2.0172e+00 +2.4359e+00 +1.4778e+00 -3.3895e+00
913 0 +3.940864423e-02 +3.721940864e+01 +3.721940864e+01 -3.6191e+00 +2.0172e+00 +2.4351e+00 +1.4781e+00 -3.3896e+00
1000 0 +3.907551856e-02 +3.721907552e+01 +3.721907552e+01 -3.6192e+00 +2.0172e+00 +2.4350e+00 +1.4781e+00 -3.3897e+00
