% f evaluations | g evaluations | best noise-free fitness - Fopt (7.003000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.756108153e+02 +6.456408153e+02 +6.456408153e+02
2 0 +5.229568436e+02 +5.929868436e+02 +5.929868436e+02
5 0 +4.539191826e+02 +5.239491826e+02 +5.239491826e+02
10 0 +4.320283163e+02 +5.020583163e+02 +5.020583163e+02
13 0 +2.748143533e+02 +3.448443533e+02 +3.448443533e+02
21 0 +2.450926975e+02 +3.151226975e+02 +3.151226975e+02
24 0 +1.736598766e+02 +2.436898766e+02 +2.436898766e+02
40 0 +1.575678414e+02 +2.275978414e+02 +2.275978414e+02
127 0 +1.087212354e+02 +1.787512354e+02 +1.787512354e+02
183 0 +9.117694203e+01 +1.612069420e+02 +1.612069420e+02
192 0 +8.622407104e+01 +1.562540710e+02 +1.562540710e+02
259 0 +7.673309177e+01 +1.467630918e+02 +1.467630918e+02
276 0 +5.948506478e+01 +1.295150648e+02 +1.295150648e+02
315 0 +5.123785169e+01 +1.212678517e+02 +1.212678517e+02
325 0 +4.719185866e+01 +1.172218587e+02 +1.172218587e+02
634 0 +4.458356020e+01 +1.146135602e+02 +1.146135602e+02
733 0 +2.979655373e+01 +9.982655373e+01 +9.982655373e+01
811 0 +2.543636504e+01 +9.546636504e+01 +9.546636504e+01
827 0 +2.224228098e+01 +9.227228098e+01 +9.227228098e+01
831 0 +1.924203551e+01 +8.927203551e+01 +8.927203551e+01
937 0 +1.527231008e+01 +8.530231008e+01 +8.530231008e+01
988 0 +1.410719370e+01 +8.413719370e+01 +8.413719370e+01
1000 0 +1.410719370e+01 +8.413719370e+01 +8.413719370e+01
