% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.552200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.541899276e+01 -2.998010072e+02 -2.998010072e+02 -7.0900e-02 +9.8113e-01
6 0 +4.078665332e+01 -3.144333467e+02 -3.144333467e+02 +1.2680e+00 +2.9318e-01
9 0 +3.209741403e+01 -3.231225860e+02 -3.231225860e+02 +1.8509e+00 +1.3841e+00
13 0 +2.225864449e+01 -3.329613555e+02 -3.329613555e+02 +4.3278e-01 +9.9003e-01
17 0 +1.788501011e+01 -3.373349899e+02 -3.373349899e+02 -4.5036e-01 +2.5955e+00
19 0 +9.918711962e+00 -3.453012880e+02 -3.453012880e+02 +1.8639e+00 +6.9290e-01
46 0 +4.834627220e+00 -3.503853728e+02 -3.503853728e+02 +1.7371e+00 +2.6514e+00
55 0 +4.114283649e+00 -3.511057164e+02 -3.511057164e+02 +1.2657e+00 +2.2910e+00
62 0 +2.586600889e+00 -3.526333991e+02 -3.526333991e+02 +1.2666e+00 +2.3757e+00
65 0 +2.200720503e+00 -3.530192795e+02 -3.530192795e+02 +1.2411e+00 +2.5252e+00
67 0 +8.872835900e-02 -3.551312716e+02 -3.551312716e+02 +1.1171e+00 +2.4419e+00
71 0 +4.819387026e-02 -3.551718061e+02 -3.551718061e+02 +1.1844e+00 +2.4635e+00
720 0 +4.819387026e-02 -3.551718061e+02 -3.551718061e+02 +1.1844e+00 +2.4635e+00
